method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
randomized,0.0,0.0,0.9093612232653832,-0.14813956566375447,0.10140861195801336,true,-0.04030947533198554
randomized,0.0,0.0,0.43192190595718943,-0.37279325924583356,0.07674248181199902,true,-0.09897882596981503
randomized,0.0,0.0,0.06364210594674535,0.017865204296839715,0.3958590333982243,false,0.19761528742330514
randomized,0.0,0.0,0.4868888663295468,-0.21507838684406483,0.06344890162815754,true,-0.09243200010841406
randomized,0.0,0.0,0.39527880311095864,-0.04820408205888375,0.3381930127745764,true,0.08249185810782109
randomized,0.0,0.0,0.6316988428478215,-0.21607485308978475,0.07696423503247626,true,-0.06276927801742191
randomized,0.0,0.0,0.4706093939771496,-0.05439700063723546,0.2637654121101044,true,0.07909053399242871
randomized,0.0,0.0,0.5938251796862382,-0.24040119489938352,1.0288487200773702,true,0.2617506212791064
randomized,0.0,0.0,0.992652957169837,-0.2064500858794974,0.12855169274922884,true,-0.011027846737224133
randomized,0.0,0.0,0.8596736354544301,-0.19489637644006008,0.11497935066735435,true,-0.04186514935655411
randomized,0.0,0.0,0.15198321473372997,-0.35700798927723804,0.019692412885607358,true,-0.15126768440024851
randomized,0.0,0.0,0.46697770848460696,-0.298594397352075,1.3162000017540247,true,0.3919330852253438
randomized,0.0,0.0,0.3447322357051267,-0.3377028220851258,0.14325745282116875,true,-0.1258350542226466
randomized,0.0,0.0,0.14511094381666562,-0.5072062574062849,0.020239320062146425,true,-0.21321181599319164
randomized,0.0,0.0,0.38086015550426067,-0.37744750635256563,0.19439020961845285,true,-0.1315543652303408
randomized,0.0,0.0,0.9026994817916436,-0.5830403937911727,0.3362122453364071,true,-0.03684895056933385
randomized,0.0,0.0,0.21436934054312795,-0.02906797709929058,0.34343417129452736,true,0.12120280916340936
randomized,0.0,0.0,0.08014183484983639,0.010738115167326923,0.3999201183322513,false,0.2092986948724893
randomized,0.0,0.0,0.4602947830966296,-0.2783977189407011,0.0670001636126908,true,-0.07554877832134922
randomized,0.0,0.0,0.7323927506242957,-0.288897356427532,0.09813758096002194,true,-0.05654197126524626
randomized,0.0,0.0,0.062207455416871005,0.09973842499142332,2.6672275539612893,false,1.2719054194405532
randomized,0.0,0.0,0.300579588970715,-0.30024914404329744,0.03249922805676397,true,-0.08757383464762512
randomized,0.0,0.0,0.21543062966954496,-0.02744142762222579,0.36042571461265993,true,0.11999620428036897
randomized,0.0,0.0,0.5713774828907928,-0.30264477550783114,0.07463295017373033,true,-0.06761127387688881
randomized,0.0,0.0,0.46274859709317434,-0.31991755063005917,0.06324449449775958,true,-0.08359639347917629
randomized,0.0,0.0,0.5136229701298948,-0.2568521483105403,0.08006282928313374,true,-0.0676008340281247
randomized,0.0,0.0,0.413021804497256,-0.15772374541296455,0.3036865990070734,true,0.09967318598556568
randomized,0.0,0.0,0.851728893302687,-0.1118798686753227,0.2165372585865273,true,0.040755485086090816
randomized,0.0,0.0,0.3728966070908686,-1.706882129974647,0.21551616675364646,true,-0.5371527418236572
randomized,0.0,0.0,0.31524071450567026,-1.7045899203486858,0.17815975098713172,true,-0.5682910744144398
randomized,0.0,0.0,0.24896669632592128,-0.5011524378565789,0.03776901722220497,true,-0.1427344545966122
