method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
randomized,0.2,0.2389635516939642,0.005964979632679057,0.13335814128583334,0.5017649443059465,true,0.3223317642262235
randomized,0.2,0.3824284712783697,0.000028860522420348644,0.1794203984470978,0.4469919803073061,true,0.3137944365239908
randomized,0.2,0.25117024740904226,0.24051906357833852,-0.044807432989515686,0.4738606557846439,true,0.174879630397741
randomized,0.2,0.24401970355093616,0.0015034171560688314,0.1151975801765956,0.3630112608452121,true,0.23910533211779098
randomized,0.2,0.21686308713599947,0.6437600745271652,-0.0844810392778907,0.2872939992469807,true,0.07011717980521703
randomized,0.2,0.1513176442659134,0.4090030055538776,-0.04854776304556276,0.21597187089743994,true,0.06850877214397155
randomized,0.2,0.18315482008903966,0.017996748864157475,0.11638382183788187,0.5716628808666208,true,0.35234621042456915
randomized,0.2,0.21351981183559565,0.8626232450928993,-0.18251159555884547,0.14476108467989904,false,-0.01780009397348057
randomized,0.2,0.21562436000578591,0.0016228923260621642,0.09411507036456648,0.3821858977397738,true,0.23797019474497821
randomized,0.2,0.2265136505789059,0.5933642098717364,-0.12030639047232125,0.28990757316690213,true,0.07073800563406822
randomized,0.2,0.19991941407331096,0.08523276299421623,0.011627741294740411,0.4687470558893493,true,0.2471588641384355
randomized,0.2,0.2905762678721616,0.10649361696089388,-0.0038838684203412943,0.48826154158457613,true,0.23683003776368708
randomized,0.2,0.18144366296109338,0.0005442823993866419,0.14550283079207108,0.42335061770740234,true,0.28476447501933055
randomized,0.2,0.21470297598936333,0.009607196365611248,0.12806678212902112,0.5707540005023772,true,0.3492378455806517
randomized,0.2,0.23001700429846444,0.0011080413412001278,0.13706891730636514,0.414759509329695,true,0.2759965567923277
randomized,0.2,0.19609235091425384,8.654639382932316e-7,0.21854378510026606,0.4266413025865869,false,0.32352382318075157
randomized,0.2,0.17813222623293792,0.6793973438353712,-0.13516241739954693,0.14946446155063595,false,-0.019355542032756908
randomized,0.2,0.07019400475884352,0.6739214246845968,-0.21712082676766142,0.3279688540718255,true,0.0649805943186032
