method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
randomized,0.0,0.0,0.3165501898982501,-0.04074602347564551,0.2376084997982961,true,0.0841850745310095
randomized,0.0,0.0,0.060168285173457105,-0.32606169909128757,-0.019306826461669174,false,-0.16735677874128974
randomized,0.0,0.0,0.40020594458584147,-0.09323943961712879,0.27892867001405824,true,0.09634434322421093
randomized,0.0,0.0,0.4781710358190774,-0.1260150030066408,0.3169503482684327,true,0.09548908888628847
randomized,0.0,0.0,0.5794442601544151,-0.23269622028356315,0.11773643158576017,true,-0.05847561404749113
randomized,0.0,0.0,0.5132601953272576,-0.14163654035633433,0.07251422581220858,true,-0.031572286035515845
randomized,0.0,0.0,0.024995356983114423,-0.5195355176605658,-0.08072634535037385,false,-0.2997266618779642
randomized,0.0,0.0,0.8751311163888196,-0.15531076702624352,0.1831626151687035,true,0.012589527892469424
randomized,0.0,0.0,0.4832303282707905,-0.2251510922657748,0.08372014395719543,true,-0.07396869223105718
randomized,0.0,0.0,0.9504588224296624,-0.16699572445164265,0.16393972483860397,true,-0.002047584429385531
randomized,0.0,0.0,0.6896397386674848,-0.1823587635566803,0.1036800227205177,true,-0.03887561416375661
randomized,0.0,0.0,0.9069355643631196,-0.155824635573931,0.16855306837196177,true,0.00417688838478123
randomized,0.0,0.0,0.08472540227850289,0.010360798294123463,0.42363771401981976,false,0.2191484962101794
randomized,0.0,0.0,0.878715137276612,-0.11137596270402551,0.09072026055945141,true,-0.01498909623773285
randomized,0.0,0.0,0.16657725990518288,-0.4251131905811755,0.03627783051634775,true,-0.19359772563931407
randomized,0.0,0.0,0.014951988024612506,0.0964428277269087,0.5082024178387123,false,0.30142739999279666
randomized,0.0,0.0,0.09091510348345788,0.006438147655934791,0.4524664092875796,false,0.23152777324494955
randomized,0.0,0.0,0.1574521503316781,-0.35522914016241547,0.026801536777084634,true,-0.16491491815662548
randomized,0.0,0.0,0.2759770831520123,-0.06791176990761058,0.3331647158343239,true,0.13276868178218823
randomized,0.0,0.0,0.18612836881525802,-0.3864122941716597,0.04025666153484306,true,-0.17059335461106412
randomized,0.0,0.0,0.12389028038280338,-0.4322888715948712,0.01167797177424474,true,-0.19654597421152886
randomized,0.0,0.0,0.40263933958986353,-0.08017873587828846,0.2924198891030342,true,0.09713474425007083
randomized,0.0,0.0,0.3692656090601999,-0.28529231651212783,0.08895733707227507,true,-0.1019810909585994
randomized,0.0,0.0,0.9972606505952852,-0.1971375895117696,0.1579542086391909,true,-0.009344104983470996
randomized,0.0,0.0,0.736453300457744,-0.09926703885942488,0.19777357930247036,true,0.041533906074602556
randomized,0.0,0.0,0.4285458875119299,-0.11480528429379003,0.3451024005537518,true,0.11171753318605562
randomized,0.0,0.0,0.9226166955616535,-0.12817899471181382,0.17922479529591162,true,0.024390142289589436
